S.No,Disease,Symptoms,Treatment,Medicine,Treatment Duration,Medicine Duration
33,Multiple Sclerosis,"Numbness, vision loss",Immunomodulators,Interferon beta,Lifelong,Lifelong
34,Psoriasis,Scaly skin patches,"Steroids, phototherapy","Corticosteroids, Methotrexate",Lifelong,As needed/intermittent
35,Ulcerative Colitis,"Diarrhea, pain, blood",Anti-inflammatory drugs,"Mesalamine, Prednisone",Lifelong,As needed
36,Crohn's Disease,"Pain, diarrhea",Immunosuppressants,"Azathioprine, Infliximab",Lifelong,Lifelong
37,Gout,Joint pain,"NSAIDs, lifestyle","Colchicine, Allopurinol",7–14 days (flare); chronic prevention,As needed/chronic
38,Thyroid Cancer,"Neck lump, voice changes","Surgery, iodine",Levothyroxine,6–12 months + monitoring,Lifelong
39,Graves' Disease,"Anxiety, weight loss",Antithyroid drugs,"Methimazole, PTU",12–18 months,12–18 months
40,Addison's Disease,"Fatigue, low BP",Hormone replacement,Hydrocortisone,Lifelong,Lifelong
41,Endometriosis,Pelvic pain,"Pain management, surgery","NSAIDs, Hormonal therapy",Chronic,Chronic/intermittent
42,Fibromyalgia,"Pain, fatigue","Pain mgmt., exercise","Pregabalin, Duloxetine",Chronic,Chronic
43,Celiac Disease,"Diarrhea, bloating",Gluten-free diet,None,Lifelong,N/A
44,Polycystic Kidney Disease,"BP, kidney cysts",BP control,ACE inhibitors,Lifelong,Lifelong
45,Tetanus,"Stiffness, spasms","Antitoxin, antibiotics","TIG, Metronidazole",7–10 days,7–10 days
46,Whooping Cough,Severe cough,Antibiotics,Azithromycin,5–10 days,5–10 days
47,Meningitis,"Fever, stiff neck","Antibiotics, support","Ceftriaxone, Vancomycin",7–21 days,7–21 days
48,Ebola Virus Disease,"Fever, bleeding",Supportive care,None (experimental),14–21 days,N/A
49,Stroke (repeat for hemorrhagic),"Numbness, speech loss","Clot control, rehab","Aspirin, Alteplase",Weeks–months,Varies
50,COVID-19 (for completeness),"Fever, cough, breathlessness","Isolation, antivirals","Paxlovid, Remdesivir",5–14 days,5–10 days
51,Zika Virus,"Fever, rash, joint pain",Supportive care,None,7–10 days,None
52,Chronic Fatigue Syndrome,"Extreme fatigue, sleep issues",Symptom management,"Pain relievers, antidepressants",Long-term,Long-term
53,Lyme Disease,"Rash, fever, joint pain",Antibiotics,Doxycycline,14–21 days,14–21 days
54,Acute Lymphoblastic Leukemia,"Fatigue, fever, bruising",Chemotherapy,"Methotrexate, Vincristine",2–3 years (phases),Per protocol
55,Bipolar Disorder,"Mood swings, mania","Mood stabilizers, therapy","Lithium, Valproate",Lifelong,Lifelong
56,Schizophrenia,"Hallucinations, delusions",Antipsychotics,"Risperidone, Clozapine",Lifelong,Lifelong
57,Chronic Hepatitis,"Fatigue, jaundice",Antivirals,"Interferon, Ribavirin",6–12 months,6–12 months
58,Cystitis,Painful urination,Antibiotics,"Nitrofurantoin, Ciprofloxacin",3–7 days,3–7 days
59,Dermatitis,Itchy rash,Topical steroids,"Hydrocortisone, Tacrolimus",1–4 weeks,1–4 weeks
60,Eczema,"Inflamed, itchy skin","Moisturizers, steroids","Hydrocortisone, Tacrolimus",Chronic,As needed
61,Endocarditis,"Fever, heart murmur",IV antibiotics,"Penicillin, Vancomycin",4–6 weeks,4–6 weeks
62,Gastritis,"Abdominal pain, nausea","PPIs, antacids","Omeprazole, Ranitidine",2–8 weeks,2–8 weeks
63,Glomerulonephritis,"Blood in urine, swelling",Immunosuppressants,"Prednisone, Cyclophosphamide",Weeks–months,Per condition
64,Guillain-Barré Syndrome,"Weakness, tingling","IVIG, plasma exchange",IVIG,5 days (IVIG),5 days
65,Heart Failure,"Breathlessness, fatigue","Diuretics, ACE inhibitors","Furosemide, Enalapril",Lifelong,Lifelong
66,Hemophilia,Excessive bleeding,Clotting factors,Factor VIII,As needed or prophylactic,Lifelong
67,Herpes Simplex Virus,Cold/genital sores,Antivirals,"Acyclovir, Valacyclovir","7–10 days (acute), suppressive daily",7–10 days / chronic
68,Histoplasmosis,"Fever, cough, fatigue",Antifungals,Itraconazole,Weeks–months,6–12 weeks
69,Hodgkin’s Lymphoma,Lymph node swelling,"Chemotherapy, radiation",ABVD regimen,2–6 months,Per protocol
70,Hyperthyroidism,"Weight loss, fast heartbeat","Antithyroid drugs, surgery","Methimazole, PTU",12–18 months,12–18 months
71,Hypothyroidism,"Fatigue, weight gain",Hormone replacement,Levothyroxine,Lifelong,Lifelong
72,Influenza,"Fever, cough, sore throat","Antivirals, rest","Oseltamivir, Zanamivir",5–7 days,5 days
73,Iron Deficiency Anemia,"Fatigue, pale skin",Iron therapy,Ferrous sulfate,3–6 months,3–6 months
74,Kawasaki Disease,"Fever, rash, lymph nodes",IVIG,IVIG,1–2 doses,1–2 days
75,Kidney Stones,Severe pain,"Hydration, painkillers","NSAIDs, alpha blockers",Few days–weeks,3–14 days
76,Leprosy,"Skin lesions, nerve damage",Antibiotics,"Dapsone, Rifampin",6–12 months,6–12 months
77,Leukemia,"Fatigue, infections",Chemotherapy,"Methotrexate, Vincristine",2–3 years,Protocol-based
78,Lymphoma,Swollen lymph nodes,Chemotherapy,CHOP regimen,3–6 months,Per protocol
79,Malignant Melanoma,Changing skin lesion,"Surgery, chemo",Dacarbazine,Weeks–months,Per protocol
80,Measles,"Fever, cough, rash",Supportive care,Vitamin A,7–10 days,2 days
81,Multiple Myeloma,"Bone pain, fatigue",Chemotherapy,"Bortezomib, Lenalidomide",Lifelong (cycles),Per cycle
82,Muscular Dystrophy,Muscle weakness,Physiotherapy,Corticosteroids,Lifelong,Lifelong
83,Myocardial Infarction,Chest pain,Emergency + meds,"Aspirin, Nitroglycerin",Acute + rehab (3–6 months),1–12 months
84,Narcolepsy,Daytime sleepiness,Stimulants,"Modafinil, Amphetamines",Lifelong,Lifelong
85,Nephrotic Syndrome,"Swelling, proteinuria",Steroids,Prednisone,6–12 weeks,Per relapse
86,Obesity,Excess weight,"Diet, meds","Orlistat, Liraglutide",Lifelong,Lifelong/as-needed
87,Osteoporosis,Fragile bones,"Calcium, bisphosphonates",Alendronate,Years,Years
88,Pancreatitis,"Abdominal pain, nausea","Pain control, fluids",Analgesics,3–7 days (acute),3–7 days
89,Parkinson's Disease,"Tremor, stiffness",Dopamine agonists,"Levodopa, Carbidopa",Lifelong,Lifelong
90,Peptic Ulcer,Abdominal pain,PPIs,"Omeprazole, Ranitidine",4–8 weeks,4–8 weeks
91,Peripheral Neuropathy,"Numbness, pain",Symptom management,"Gabapentin, Pregabalin",Chronic,Chronic
92,Pneumonia,"Cough, fever",Antibiotics,"Amoxicillin, Azithromycin",5–10 days,5–10 days
93,Polio,"Fever, paralysis",Supportive care,None,Variable,None
94,Psoriasis,Scaly skin patches,Topical therapy,Corticosteroids,Chronic,Chronic/as needed
95,Rabies,"Fever, paralysis",PEP (vaccine + Ig),"Rabies vaccine, Ig",14–28 days,4–5 doses
96,Rheumatoid Arthritis,"Joint pain, stiffness",Immunosuppressants,Methotrexate,Lifelong,Lifelong
97,Scleroderma,Skin thickening,Immunosuppressants,"Methotrexate, Mycophenolate",Lifelong,Lifelong
98,Sickle Cell Disease,"Pain, anemia","Transfusions, meds",Hydroxyurea,Lifelong,Lifelong
99,Skin Cancer,New lesions,"Surgery, chemotherapy",Vemurafenib,Weeks–months,Per protocol
100,Sleep Apnea,"Snoring, daytime fatigue",CPAP therapy,None,Lifelong,None
101,Stroke,"Sudden weakness, speech difficulty","Clot removal, rehab","Alteplase, Aspirin",3–6 months,1–6 months/lifelong
102,Acute Bronchitis,"Cough, mucus, fatigue","Rest, fluids","Albuterol, Dextromethorphan",7–14 days,5–10 days
103,Addison’s Disease,"Fatigue, low BP",Hormone replacement,"Hydrocortisone, Fludrocortisone",Lifelong,Lifelong
104,AMD,Blurred central vision,"Vitamins, lifestyle",None,Lifelong,N/A
105,Alcoholism,"Cravings, withdrawal","Counseling, meds","Naltrexone, Disulfiram",Months–years,6+ months
106,Allergic Rhinitis,"Sneezing, itchy eyes",Antihistamines,"Loratadine, Fluticasone",Chronic/seasonal,As needed
107,ALS,Muscle weakness,Supportive care,Riluzole,Lifelong,Lifelong
108,Anaphylaxis,"Breathing difficulty, rash",Emergency injection,Epinephrine,Immediate,1 dose
109,Ankylosing Spondylitis,"Back pain, stiffness","NSAIDs, therapy","Ibuprofen, Sulfasalazine",Lifelong,Lifelong
110,Anxiety Disorder,"Nervousness, restlessness","Therapy, meds","SSRIs, Benzodiazepines",Months–years,6+ months
111,Aortic Aneurysm,Chest/back pain,Surgery,Beta blockers,Varies,Lifelong (if managed)
112,Aplastic Anemia,"Fatigue, infections",Transplant,Immunosuppressants,Months–years,6–12 months
113,Arrhythmia,"Palpitations, dizziness","Cardioversion, meds","Amiodarone, Beta blockers",Chronic,Lifelong
114,Asperger Syndrome,Social difficulties,Behavioral therapy,None,Lifelong,N/A
115,Astigmatism,Blurred vision,Lenses/surgery,None,Lifelong,N/A
116,Atrial Fibrillation,Irregular heartbeat,Anticoagulants,"Warfarin, Digoxin",Lifelong,Lifelong
117,Autism Spectrum Disorder,Social challenges,Therapy,None,Lifelong,N/A
118,Bacterial Meningitis,"Fever, stiff neck",Antibiotics,"Ceftriaxone, Vancomycin",7–21 days,7–21 days
119,Barrett’s Esophagus,"Heartburn, chest pain",Acid suppression,Omeprazole,Lifelong,Lifelong
120,BPH,Frequent urination,"Meds, surgery","Tamsulosin, Finasteride",Lifelong,Lifelong
121,Bladder Cancer,Blood in urine,"Surgery, chemo","Mitomycin, BCG",Months,Per cycle
122,DVT (Blood Clots),"Leg pain, redness",Anticoagulants,"Warfarin, Heparin",3–6 months,3–6 months
123,Bone Cancer,"Bone pain, swelling","Surgery, chemo","Methotrexate, Doxorubicin",6+ months,Per protocol
124,Botulism,Muscle weakness,Antitoxin,Botulinum antitoxin,Immediate,Single dose
125,Brain Tumor,"Headaches, seizures","Surgery, chemo",Temozolomide,Months,Per protocol
126,Bronchiectasis,Chronic cough,"Antibiotics, therapy",Azithromycin,Chronic,Varies
127,Bulimia Nervosa,Bingeing/purging,"Therapy, meds",SSRIs,Months,6+ months
128,Bursitis,Joint swelling,"NSAIDs, rest",Ibuprofen,1–2 weeks,As needed
129,Candidiasis,White patches,Antifungals,Fluconazole,3–7 days,3–7 days
130,Carpal Tunnel Syndrome,Hand numbness,"Splinting, surgery",NSAIDs,2–6 weeks,As needed
131,Cataracts,Cloudy vision,Surgery,None,Permanent,N/A
132,Cellulitis,"Redness, swelling",Antibiotics,Cephalexin,7–10 days,7–10 days
133,Cerebral Palsy,"Stiffness, coordination","Therapy, meds","Baclofen, Diazepam",Lifelong,Lifelong
134,Cervical Cancer,"Bleeding, pelvic pain","Surgery, chemo",Cisplatin,Months,Per cycle
135,Charcot-Marie-Tooth,Muscle weakness,Therapy,None,Lifelong,N/A
136,Chickenpox,"Rash, fever",Symptomatic care,"Calamine, antihistamines",7–10 days,5–7 days
137,Chlamydia,Painful urination,Antibiotics,Azithromycin,1–7 days,1–7 days
138,CLL,"Fatigue, swollen nodes","Chemo, targeted meds","Ibrutinib, Rituximab",Lifelong,Per cycle
139,COPD,"Cough, breathlessness","Bronchodilators, steroids","Tiotropium, Prednisone",Lifelong,Lifelong
140,Chronic Pain,Persistent pain,"Therapy, meds","NSAIDs, Opioids",Lifelong,As needed
141,Cirrhosis,"Fatigue, swelling",Lifestyle changes,"Diuretics, Lactulose",Lifelong,Lifelong
142,Cleft Lip/Palate,Facial defect,Surgery,None,Permanent,N/A
143,C. diff Infection,"Diarrhea, fever",Antibiotics,"Vancomycin, Metronidazole",10–14 days,10–14 days
144,Cluster Headaches,Intense headache,"Oxygen, meds","Sumatriptan, Verapamil",Chronic,As needed
145,Colon Cancer,Blood in stool,"Surgery, chemo","5-FU, Oxaliplatin",6–12 months,Per cycle
146,Conjunctivitis,"Red, itchy eyes",Antibiotics/antihistamines,"Ciprofloxacin, Olopatadine",5–7 days,5–7 days
147,CAD,Chest pain,"Lifestyle, surgery","Aspirin, Statins",Lifelong,Lifelong
148,Crohn’s Disease,Abdominal pain,Immunosuppressants,"Azathioprine, Infliximab",Lifelong,Lifelong
149,Cushing’s Syndrome,"Weight gain, BP","Surgery, meds",Ketoconazole,Varies,Months
150,Dandruff,"Scaly, itchy scalp",Medicated shampoo,Ketoconazole,Ongoing,As needed
151,DVT,"Leg pain, swelling",Anticoagulants,"Warfarin, Heparin",3–6 months,3–6 months
152,Dementia,Memory loss,Symptom management,"Donepezil, Memantine",Lifelong,Lifelong
153,Dengue Fever,"Fever, rash",Supportive care,Paracetamol,7–10 days,5–7 days
154,Depression,"Sadness, low interest","Therapy, meds","SSRIs, SNRIs",6–12 months,6–12 months
155,Dermatitis,Itchy rash,Steroid creams,Hydrocortisone,1–4 weeks,As needed
156,Type 1 Diabetes,Frequent urination,Insulin therapy,Insulin,Lifelong,Lifelong
157,Type 2 Diabetes,"Thirst, urination",Lifestyle + meds,"Metformin, Insulin",Lifelong,Lifelong
158,Diabetic Retinopathy,Blurred vision,"Laser, injections",Anti-VEGF,Varies,Monthly–yearly
159,Diarrhea,Loose stools,Rehydration,ORS,1–3 days,As needed
160,Diphtheria,"Sore throat, fever","Antitoxin, antibiotics","Penicillin, Erythromycin",10–14 days,10–14 days
161,Down Syndrome,Intellectual disability,Supportive care,None,Lifelong,N/A
162,Duchenne MD,Muscle weakness,"Therapy, steroids",Prednisone,Lifelong,Lifelong
163,Ear Infection,"Ear pain, fever",Antibiotics,Amoxicillin,5–10 days,5–10 days
164,Eclampsia,Seizures in pregnancy,"Delivery, magnesium",MgSO4,Immediate,1–2 days
165,Eczema,"Dry, itchy skin","Moisturizers, steroids",Hydrocortisone,Chronic,As needed
166,Emphysema,"SOB, chronic cough","Oxygen, bronchodilators",Tiotropium,Lifelong,Lifelong
167,Endometriosis,Pelvic pain,"Surgery, hormones","NSAIDs, Hormonal therapy",Chronic,Varies
168,Epidermolysis Bullosa,Blistering skin,Wound care,None,Lifelong,N/A
169,Epilepsy,Seizures,AEDs,"Phenytoin, Valproate",Lifelong,Lifelong
170,Erectile Dysfunction,Erection difficulty,"Therapy, meds","Sildenafil, Tadalafil",As needed,As needed
171,Esophageal Cancer,Swallowing difficulty,"Surgery, chemo","Cisplatin, 5-FU",Months,Per cycle
172,Fibromyalgia,"Fatigue, pain","Therapy, meds","Pregabalin, Duloxetine",Chronic,Chronic
173,Food Allergy,"Swelling, rash","Avoidance, epinephrine",Epinephrine,Immediate,Single dose
174,Gallstones,Abdominal pain,"Surgery, meds",Ursodiol,Weeks–months,3–6 months
175,Gastric Cancer,Abdominal pain,"Surgery, chemo","Cisplatin, 5-FU",Months,Per protocol
176,Gastroenteritis,"Diarrhea, vomiting",Rehydration,ORS,2–5 days,2–5 days
177,GERD,Heartburn,"Lifestyle, meds","Omeprazole, Ranitidine",4–8 weeks,Chronic
178,Glaucoma,Vision loss,"Eye drops, surgery","Latanoprost, Timolol",Lifelong,Lifelong
179,Gout,"Joint pain, swelling","NSAIDs, lifestyle","Allopurinol, Colchicine",Chronic,As needed
180,Graves' Disease,Rapid heartbeat,Antithyroid drugs,Methimazole,12–18 months,12–18 months
181,Guillain-Barre,"Weakness, paralysis","IVIG, plasma exchange",IVIG,5 days,5 days
182,Hair Loss,Patchy loss,Corticosteroids,Minoxidil,Weeks–months,Ongoing
183,HFMD,"Fever, sores",Supportive care,None,7–10 days,N/A
184,Hashimoto’s,"Fatigue, weight gain",Hormone replacement,Levothyroxine,Lifelong,Lifelong
185,Headache (Tension),Head pain,Painkillers,Ibuprofen,As needed,As needed
186,Heart Attack,Chest pain,Emergency meds,"Aspirin, Nitroglycerin",Weeks–months,1–6 months
187,Heart Valve Disease,"SOB, fatigue","Surgery, meds",Beta blockers,Lifelong,Lifelong
188,Hemochromatosis,"Fatigue, joint pain",Phlebotomy,None,Lifelong,N/A
189,Hemorrhoids,"Pain, bleeding","Lifestyle, surgery",Topical steroids,1–2 weeks,As needed
190,Hepatitis A,Jaundice,Supportive care,None,2–6 weeks,N/A
191,Hepatitis B,"Jaundice, pain",Antivirals,Tenofovir,6–12 months,6–12 months
192,Hepatitis C,"Fatigue, jaundice",Antivirals,"Sofosbuvir, Ledipasvir",8–12 weeks,8–12 weeks
193,HSV,Cold/genital sores,Antivirals,Acyclovir,7–10 days,Chronic
194,Hypertension,Often asymptomatic,"Lifestyle, meds",ACE inhibitors,Lifelong,Lifelong
195,HIV/AIDS,"Weight loss, infections",ART,"Zidovudine, Lamivudine",Lifelong,Lifelong
196,Hodgkin Lymphoma,Swollen nodes,"Chemo, radiation",ABVD regimen,6 months,Per protocol
197,HPV Infection,Warts,"Topicals, vaccine",Imiquimod,Weeks,Varies
198,Huntington’s,Movement decline,Supportive,Tetrabenazine,Lifelong,Lifelong
199,Hypercholesterolemia,Often asymptomatic,"Diet, statins",Statins,Lifelong,Lifelong
200,Hyperthyroidism,"Weight loss, palpitations","Drugs, surgery","Methimazole, PTU",12–18 months,12–18 months
201,Hyperthyroidism,"Weight loss, rapid heartbeat","Antithyroid drugs, surgery","Methimazole, Propylthiouracil",12–18 months,12–18 months
202,Hypoglycemia,"Shakiness, confusion","Glucose intake, medications","Glucose tablets, Glucagon",Immediate,Single/As needed
203,Hypothyroidism,"Fatigue, weight gain",Hormone replacement,Levothyroxine,Lifelong,Lifelong
204,IBS,"Abdominal pain, bloating","Diet changes, medications","Antispasmodics, Laxatives",Ongoing,As needed
205,Influenza,"Fever, cough, aches","Supportive care, antivirals","Oseltamivir, Zanamivir",5–7 days,5 days
206,Insomnia,Sleep difficulties,"Sleep hygiene, medications","Zolpidem, Melatonin",Weeks–months,As needed
207,Interstitial Lung Disease,"Breathlessness, dry cough","Oxygen, medications","Steroids, Immunosuppressants",Months–years,Chronic
208,Iron Deficiency Anemia,"Fatigue, pale skin",Iron supplements,Ferrous sulfate,3–6 months,3–6 months
209,Kawasaki Disease,"Fever, rash",IVIG therapy,IVIG,Single dose,Single dose
210,Kidney Stones,"Severe pain, hematuria","Pain management, fluids",NSAIDs,Days–weeks,5–10 days
211,Kidney Failure (Chronic),"Fatigue, low urine","Dialysis, transplant",Erythropoietin,Lifelong,Lifelong
212,Laryngitis,"Hoarseness, sore throat","Voice rest, steroids",Prednisone,3–7 days,3–5 days
213,Lactose Intolerance,"Bloating, diarrhea",Avoid dairy,Lactase enzyme,Lifelong,As needed
214,Lassa Fever,"Fever, hemorrhage",Supportive care,Ribavirin,10 days,10 days
215,Legionnaires’ Disease,"Cough, fever",Antibiotics,"Azithromycin, Levofloxacin",7–10 days,7–10 days
216,Leukemia,"Fatigue, bleeding","Chemotherapy, BMT",Chemo drugs,Months–years,Protocol-specific
217,Lewy Body Dementia,Cognitive decline,Symptom control,Cholinesterase inhibitors,Lifelong,Lifelong
218,Lice Infestation,"Itching, lice/nits",Topical insecticides,"Permethrin, Malathion",Single–repeat dose,1–2 weeks
219,Liver Cancer,"Pain, weight loss","Surgery, chemotherapy",Sorafenib,Varies,Cycle-based
220,Liver Cirrhosis,"Fatigue, jaundice","Lifestyle, meds","Diuretics, Lactulose",Lifelong,Lifelong
221,ALS (Lou Gehrig’s),Muscle weakness,Supportive care,Riluzole,Lifelong,Lifelong
222,Lupus,"Fatigue, joint pain",Immunosuppressants,"Hydroxychloroquine, Steroids",Lifelong,Lifelong
223,Lyme Disease,"Rash, joint pain",Antibiotics,"Doxycycline, Amoxicillin",2–4 weeks,2–4 weeks
224,Malaria,"Fever, chills",Antimalarials,"Artemisinin, Chloroquine",3–7 days,3–7 days
225,Malnutrition,"Weight loss, weakness",Nutritional support,Vitamins/minerals,Months,1–3 months
226,Meningitis,"Fever, headache","Antibiotics, antivirals","Ceftriaxone, Acyclovir",7–21 days,7–21 days
227,Menopause,Hot flashes,Hormone therapy,Estrogen/Progestin,Years,Varies
228,Migraine,Severe headache,"Pain relief, prevention","Sumatriptan, Beta blockers",Chronic,As needed
229,Multiple Sclerosis,"Numbness, vision issues",Immunomodulators,"Interferon-beta, Glatiramer",Lifelong,Lifelong
230,Multiple Myeloma,"Bone pain, anemia","Chemo, stem cells","Bortezomib, Lenalidomide",Months,Per protocol
231,Muscle Cramps,Muscle pain,"Stretching, hydration",Magnesium,Days–weeks,As needed
232,Myasthenia Gravis,"Weakness, drooping",Immunosuppressants,"Pyridostigmine, Steroids",Lifelong,Lifelong
233,Myocardial Infarction,Chest pain,Emergency care,"Aspirin, Nitroglycerin",Immediate + long-term,1–6 months
234,Narcolepsy,Daytime sleepiness,Medications,"Modafinil, Sodium oxybate",Lifelong,Lifelong
235,Nasal Polyps,Loss of smell,"Steroids, surgery","Fluticasone, Prednisone",Weeks–months,Varies
236,Necrotizing Fasciitis,"Pain, fever","Surgery, antibiotics","Penicillin, Clindamycin",Immediate,10–14 days
237,Nephrotic Syndrome,"Swelling, proteinuria","Steroids, diuretics","Prednisone, Furosemide",Months,6–12 months
238,Neuroblastoma,Abdominal swelling,"Chemo, surgery","Cyclophosphamide, Vincristine",Months,Per cycle
239,Neuropathy,"Tingling, pain",Pain meds,"Gabapentin, Pregabalin",Chronic,Lifelong
240,Non-Hodgkin Lymphoma,Swollen nodes,"Chemo, radiation",CHOP regimen,Months,Per cycle
241,Obesity,Breathlessness,"Diet, surgery","Orlistat, Liraglutide",Months–years,Chronic
242,Occupational Asthma,Work cough,Avoid triggers,Inhaled corticosteroids,Chronic,As needed
243,Osteoarthritis,Joint pain,"Therapy, pain meds","NSAIDs, Acetaminophen",Chronic,As needed
244,Osteomyelitis,Bone pain,"Antibiotics, surgery","Vancomycin, Ceftriaxone",4–6 weeks,4–6 weeks
245,Osteoporosis,Fragile bones,"Supplements, meds",Bisphosphonates,Years,Monthly/yearly
246,Otitis Externa,Ear pain,Antibiotic drops,Ciprofloxacin,7–10 days,7–10 days
247,Ovarian Cancer,"Bloating, pelvic pain","Surgery, chemo","Carboplatin, Paclitaxel",Months,Per cycle
248,Panic Disorder,Sudden fear,"Therapy, meds","SSRIs, Benzodiazepines",Months,6+ months
249,Pancreatitis,Abdominal pain,Hospital care,Analgesics,Days–weeks,As needed
250,Parkinson’s Disease,"Tremors, rigidity","Therapy, meds","Levodopa, Carbidopa",Lifelong,Lifelong
251,PID,"Abdominal pain, fever",Antibiotics,"Doxycycline, Metronidazole",14 days,14 days
252,Peptic Ulcer,Stomach pain,"Acid reducers, antibiotics","Omeprazole, Amoxicillin",2–4 weeks,2–4 weeks
253,PAD,Leg pain,"Surgery, meds","Statins, Antiplatelets",Lifelong,Lifelong
254,Pertussis,Whooping cough,Antibiotics,Azithromycin,5–10 days,5–10 days
255,PKU,Intellectual disability,Diet control,None,Lifelong,N/A
256,Phlebitis,Swelling along vein,NSAIDs,NSAIDs,1–2 weeks,5–10 days
257,Pilonidal Cyst,Pain near tailbone,Surgery,Antibiotics if infected,Permanent,If infected
258,Pityriasis Rosea,Rash,Symptomatic care,Antihistamines,6–8 weeks,As needed
259,Pneumonia,"Cough, fever","Antibiotics, support","Amoxicillin, Azithromycin",5–10 days,5–10 days
260,Polio,Paralysis,Supportive care,None,Lifelong,N/A
261,PCOS,Irregular periods,"Lifestyle, meds","Metformin, OCPs",Chronic,Chronic
262,PTSD,"Flashbacks, anxiety","Therapy, meds","SSRIs, Prazosin",Months–years,6+ months
263,PMS,Mood swings,"Lifestyle, meds","NSAIDs, SSRIs",Monthly,Monthly
264,Primary Biliary Cholangitis,"Itching, fatigue",Medication,Ursodeoxycholic acid,Lifelong,Lifelong
265,Primary Sclerosing Cholangitis,Jaundice,Supportive,None,Lifelong,N/A
266,Prostate Cancer,Urination issues,"Surgery, radiation",Hormone therapy,Months–years,Chronic
267,Psoriasis,"Red, scaly patches","Topicals, phototherapy","Steroids, Vit D analogs",Chronic,As needed
268,Pulmonary Embolism,"Chest pain, SOB",Anticoagulants,"Heparin, Warfarin",3–6 months,3–6 months
269,Rabies,"Fever, paralysis",Post-exposure PEP,"Rabies vaccine, RIG",4 doses,14–28 days
270,Rheumatoid Arthritis,Joint pain,DMARDs,"Methotrexate, NSAIDs",Lifelong,Lifelong
